,0.psd_delta,0.psd_theta,0.psd_alpha,0.psd_beta,0.psd_gamma,0.spectral_entropy_value,0.delta_rel_power,0.beta_rel_power,1.psd_delta,1.psd_theta,1.psd_alpha,1.psd_beta,1.spectral_entropy_value,1.delta_rel_power,1.theta_rel_power,1.alpha_rel_power,1.beta_rel_power,2.psd_delta,2.psd_theta,2.psd_alpha,2.psd_beta,2.psd_gamma,2.spectral_entropy_value,2.delta_rel_power
12,34561.1584337809,23839.75029045496,21892.01559772663,11412.10116919658,9833.271191270089,4.47450635926336,0.1558252461911532,0.3800303822929429,36189.91423527029,22153.52945657026,29748.563265234086,14923.824106632906,4.7613207508657,0.1520608194176212,0.0573282617927403,0.14770164155291,0.376139991169736,38928.31881736196,20493.64291202974,30457.2690960898,14226.989719205165,12207.651925685044,4.6442146087410245,0.1561823234734484
13,16186.460083361582,30329.54185052868,14704.777707175876,22486.783142578995,8154.40938352678,4.913400392682068,0.0795976892196208,0.4081907621478987,21715.84387131149,31639.51144326232,15163.23294732142,22912.04022183604,4.9601934230345925,0.1025731371801652,0.166605791462567,0.1025398427424538,0.3537537922232646,24407.03334225362,36549.81385718752,14822.262570914774,22484.423425492874,8248.528499818945,4.99113488016347,0.1145449588152573
14,21824.117451264105,14264.78049202447,19077.38499994965,17045.006927396946,11577.516099229557,5.044827147792832,0.167843216387144,0.4524169522790365,19450.37619197557,19139.528888463712,17431.13299284701,21093.2517067902,4.975087919275717,0.0804095637232703,0.0896527626247079,0.0923938044399566,0.5009136407954117,35007.09485232037,16685.655730108305,14289.438292916428,24959.49102698639,14218.113681255352,4.96118959092346,0.113551703702905
15,9943.191757231709,27828.64106594185,36866.38240270476,18104.97429210108,8826.766298185561,4.6725087536145065,0.0204952340599996,0.4528355971631076,21324.692635727744,28063.89904257061,29417.675952721493,20414.288737188937,4.878472727602436,0.0929196978164152,0.0802520883382277,0.1826939941575887,0.4822173250804244,29343.15012795411,30568.48983194032,26809.040610848053,23701.711678829583,10551.776399938546,4.964995964818852,0.1383744204523887
16,32613.3810505351,25251.596047847943,36174.0844214273,16868.36705441968,7272.974008050887,4.708278729535221,0.1536591388462811,0.436387752961571,42797.64742919541,28100.44578426393,31347.03207096558,18762.250301812208,4.895633809714533,0.1533388623610152,0.0922384259567429,0.1119923972317931,0.3997395858784264,41999.670636972674,36706.74196285881,31981.06945686829,22811.69938932577,11499.086620955031,4.830194959336416,0.1254152842254619
17,15824.697835915918,28131.18936824239,6460.006798742594,16296.964607880896,10396.542640830912,4.850951183428569,0.0994897505709265,0.4340969053848902,27116.34627549728,22640.92241421051,14292.96175234426,18729.323177924613,4.8829303960070805,0.0500766077473387,0.1337507347408532,0.0680469992011591,0.427521109086082,38250.03114239439,26281.68839526512,20961.56101677768,21094.064912849663,14601.194033721727,4.957557454250767,0.0632232026923403
18,24818.159469118385,41526.99965488622,12251.48753925319,12265.580565567703,9003.122043973004,4.689437363813351,0.0457116101930557,0.2914763336500244,60621.88356368471,14002.429546507212,19956.54905200917,14259.250881239295,4.561458062582383,0.2167229156966277,0.0238527962668029,0.0584981810309522,0.3323787394273044,66049.5657035618,12428.678751754696,31430.69391237352,17366.05688539877,15164.679541160447,4.666315618805836,0.1981416080980823
19,28571.55503870241,45429.51198251013,22487.125305023583,10387.600710311344,7329.424984815171,4.66438404637714,0.0396849063595746,0.2636126320943227,51986.90910132184,31540.69975630557,17871.588449509487,12807.346668490623,4.8564572390061365,0.0707668939928567,0.1857197068872461,0.1380933227685969,0.353038471697744,43699.00868288341,28996.199084589887,18710.70546477532,15324.43415100408,9866.012517697332,4.824961923360374,0.0607072482484593
20,25980.365619072792,40179.40374718614,19339.109808808484,12084.105392986665,11919.887369274224,4.434477578213596,0.0496200372406902,0.4309414578657994,31357.46092088065,19312.489835764514,16065.47665912756,13557.28620984764,4.322807119628421,0.067301771219244,0.0474609707899026,0.1132374636081513,0.322591479737997,46301.76423592545,28844.073751268472,14951.097296705657,17210.471115724267,15363.435568237544,4.405733676302942,0.0919488673553921
21,32016.28087197077,40874.30676797682,15799.02033740931,17804.924246853516,5484.7792456721445,4.678961318566544,0.0796578330701898,0.3174424838241871,29795.589337305755,36997.57743614144,14812.224241842188,22801.22132478128,4.756689013892516,0.0854110559691225,0.2635074709218363,0.0530499551403237,0.4196950062031774,25299.541293464503,28896.605836550512,15963.502120405756,23113.18703917968,7183.317315166751,4.917031344570032,0.0675434800491497
22,54013.4635389315,23348.050997636547,9450.7214590854,17605.41380154578,4320.666604096624,4.873131219304307,0.1892147589653562,0.3660565910320448,68732.10835435466,27514.12522345413,7982.793326185997,21602.882342011468,4.821056131221716,0.2270554688033065,0.1872895012703316,0.0638110454404237,0.3456014643407518,72834.96650443715,28757.01650522904,10495.695658825502,25011.9429396162,8200.79800154881,4.805795381487133,0.2075537136064741
23,31091.40254989353,32786.688317630425,20253.56613240157,17667.002012674602,11332.67664429442,4.7778839115772,0.1577515035480904,0.3121608580989048,34179.11958322972,27966.76720847314,15212.63121998921,23074.309388343783,4.8546010876879775,0.1036392995332885,0.1035335394423363,0.058548444305733,0.397013337828313,44310.79750866946,32634.755979573645,14080.206591829809,26109.96952262877,16454.414881147914,4.886740741730326,0.1067038645060505
24,22055.35255658489,8751.142723140494,25704.0571419734,14314.263642214388,12002.372507198905,4.850663769540303,0.0666551766102868,0.4111477262394004,31326.98219237245,10894.12603250989,16380.860196297364,17360.875677640946,4.90184711775172,0.0769622321093106,0.0137483236039524,0.0789660212501391,0.4193627148950241,27583.16767643942,18066.86997136317,12165.54983179391,18083.27774630457,13290.351696314416,4.966848243177537,0.0750340128674172
25,20107.814789498007,16338.137424637283,10122.132477347986,22284.7467351264,10200.816368819202,4.754410261908128,0.1451555470001308,0.5368630765309493,14136.534681489453,23585.29632317212,7515.421177466497,19084.30166729584,4.889467773978604,0.051759250376143,0.1012368837548314,0.0610183055599281,0.48320882014485,16622.774345145914,27702.318330566304,10291.122004153644,22135.03173405972,14085.25236411565,4.696969963445446,0.0420584724848124
26,18042.95148939144,25471.76433683775,15240.113973933829,12293.725521569417,6649.593954336926,4.476628599299563,0.151191486171359,0.2992215448154286,55079.14358437414,11831.83370862016,11550.937695056127,9897.72951365124,4.465566986037612,0.3476290892252726,0.1249259949100495,0.0792365217704964,0.2243539389146079,51512.396320426014,13344.812757965872,9051.839811993745,11530.140187787632,9310.563959979989,4.428633325827417,0.3127168824648069
27,38514.906318641326,19305.241905814662,34648.057809281665,20617.14736093784,6884.084967894608,4.56910806439554,0.1201514496649327,0.4903349173822587,32632.458047001164,17023.87339517093,27530.31525028055,25501.63614813954,4.716193839168436,0.1161308923558787,0.1080794912418946,0.1547633883534364,0.5012939251900153,29361.711655677835,19298.268194015,25647.03234182341,27294.901085052188,11277.422040992931,4.647815495650005,0.0997632568770932
28,48064.12564130256,30557.63377735568,26193.774281643826,12708.74677789888,4127.975964488441,4.702557149710308,0.2695725496343757,0.2033143531253702,50808.33662971329,31218.17339201489,19448.63445766486,14095.012429604192,4.955634864948123,0.2648153390133382,0.1537593468302699,0.1527230693245294,0.2403386213011234,51018.79673271339,34426.69370956214,13243.621395317195,15749.610719128092,5480.717075280079,5.015298379804868,0.248432229530875
29,28026.34463198377,17851.993282139203,13148.481362060496,19077.64774415453,5363.492092835068,4.834621880487784,0.1250968350022222,0.5427188765360167,21933.418937875114,12385.005134028394,14174.474409333228,17600.835056112737,5.12604000247517,0.107138773507254,0.0724185304435362,0.0696989116211097,0.5098291356723301,23502.23948588109,12643.300771327762,13965.904104874246,20514.38570006996,9945.167808544524,5.16369531245771,0.1175015707958212
30,27016.42924467677,12335.846538977854,16758.535611603602,16054.897627525866,7960.8203570705955,4.846138186057721,0.1893557304965961,0.3980758320138896,20193.211472118288,8674.064995207933,11458.513652742717,16274.473250948991,4.82540536537565,0.1035923882551671,0.0286502518504476,0.1269931954803882,0.4217960125968468,17506.666646978847,11517.826402494098,9677.995274407076,20280.42069917797,9751.547673654632,4.823344638799669,0.0372816659346648
31,34632.56103613207,36415.23727922847,16172.380624893798,12576.767653529569,9112.480023870014,4.619149569552098,0.1246563169027759,0.1632586336131653,28394.82042690504,24954.46880131433,17053.132865698306,13942.001120134815,4.703279976813799,0.1344926974019024,0.1649758161577326,0.119786317542053,0.2135896113301095,25270.029204668383,21250.2169800514,18328.91683765135,16734.640177912715,10595.170585911308,4.844402664537253,0.1338056392618369
32,10437.024457702948,35433.483364113185,17906.62651695385,13342.859303817932,8438.867685221741,4.872086161972536,0.061210392742993,0.3479231775113675,33507.84963233616,25922.06237130656,15850.02472586847,14432.997695362244,4.875574479276437,0.1793191795263743,0.1374147026747893,0.0709171225214223,0.3497405119569133,45096.78283377585,26098.012475914773,19990.89598186965,12629.016104742996,14081.454916718723,4.89826909312974,0.1533311722045816
33,20182.806905314563,43180.73742177853,17937.197700911598,14929.590186875124,8323.554461260093,4.5350370226382415,0.0644268585037478,0.3039413363234912,28605.27009041774,24389.241501588785,18295.19481803958,17892.77743648029,4.570636755364685,0.2094162236543344,0.0793031985213831,0.0830717798128839,0.3973450018976379,39588.80663025014,26349.248690232977,25318.010569555085,21051.5692058256,10432.19088750591,4.5522922583231695,0.2298061014041403
34,19135.806413855124,28430.18465835894,12934.343278232369,18832.629730810502,10342.473773685437,4.621123537720373,0.1269281665281172,0.3368650566560516,19592.9807067454,28147.1551518536,18106.306257830165,21019.549974011712,4.809858313630614,0.1129549373314897,0.1726051880003183,0.1006708413079896,0.3303857455198807,22056.876030582047,31557.75515987708,24378.90643956204,22604.69776698617,11208.863299979588,4.851737554367904,0.1019172230353298
35,32941.63557132192,31681.74183140368,12140.790300186358,16889.3163359863,10356.70477280179,4.6493284374557655,0.1611495699400782,0.3049022263575958,38646.00043597775,24643.398756114657,15081.70937179562,17892.526559008416,4.751884251219347,0.1421160066819258,0.1038683124067413,0.0535523975113432,0.3006633533214486,52292.073184092005,30228.58805453304,11337.66706505444,17356.871945570456,11072.970732972228,4.746751220050998,0.1529205778683457
36,29493.97956673497,35182.28023526278,11669.22263899984,16325.585485797636,9024.198813422656,4.650391943304855,0.1368209311720405,0.4424849566460954,45266.41048398044,20804.30259452941,11551.657290295405,18937.952343939785,4.844684352617526,0.1428990120190414,0.1364635899753871,0.0675860634280131,0.4950889761233212,43767.8988920832,19678.22252384832,11604.41198175667,22410.07940967735,11424.186911014436,4.946059307782031,0.1354840533105677
37,27427.46869751132,42255.17900867818,8929.429599177927,17521.108746242076,8995.07916553662,4.868299903470789,0.1253773342078523,0.4491907169608684,57163.573214497286,14465.735593972398,7170.449428072279,21881.48112683162,4.830115038990964,0.1890992356386018,0.0791458417372602,0.0224834199099449,0.4644818320976573,63130.9482198714,17260.257234164736,5986.469318035514,27889.20438437387,13137.645758197998,4.750683921363923,0.1861780571044269
38,5179.538993295471,31430.56425122336,15184.720284514638,21593.89352660107,7659.687046618502,4.791325089953369,0.022200341639904,0.5445769032986271,26521.33423658332,24958.90880314221,16061.848753843602,19801.28764921889,4.96520226306447,0.0826763600632346,0.0963753687726426,0.0983500245857395,0.4996268825838337,31388.368108900875,20653.420760577173,21870.71777325416,19498.34408639204,9520.09320422048,4.841540512495166,0.1051879281611039
39,15964.767507060136,22840.21752111461,11813.845691211403,15838.94622676934,12881.609703222635,4.530284311342648,0.0933423087501675,0.3690259229264518,17023.699123838524,13568.23613788345,8710.378873501075,14951.96411861001,4.416847495535157,0.0911380828585312,0.0287729118507758,0.0367178229074642,0.3427455889481478,15748.930175609898,17040.220302793423,11114.637097574923,15176.820260682402,16380.915762679104,4.574845334706573,0.0754966392543863
40,13449.97001101814,22743.32240553704,11915.221514318217,24484.46340387945,7604.482923885315,4.959310337248942,0.1079235039299996,0.4259229524566191,15209.784454788029,29036.07805470344,12860.777896617465,27038.548585943223,4.990714359895487,0.0664274895348225,0.1840754791045891,0.0640406777402486,0.518730652961084,19412.89742266169,24347.358041092382,11431.378084760216,32192.016638619352,8207.681185647783,4.974834782811223,0.0518049085085223
41,10785.409539988186,25662.21275163312,24073.999582756194,17917.49439206364,8820.393196742076,4.982490773626334,0.0783568523014226,0.4884325582926025,7081.741816440663,18094.792892898207,16180.023294737162,19190.07109008912,4.7440161838361865,0.0110600071177141,0.0345909561849215,0.0555581705629317,0.6000722356403032,17415.091886384893,19826.935303984545,14678.243782570367,21261.108410286368,13029.889760577784,4.632234775538108,0.0465615547686032
42,22610.703201122906,31063.195649760142,21508.012699798583,12832.499331015655,13197.289314052125,4.841211607751303,0.0646597824434962,0.2929944641132878,21226.19582824959,18935.897286497853,15617.60754826942,15532.785831587102,4.7805353101683385,0.0858007251996947,0.0737421386136551,0.0714587545137443,0.3495570704510248,14865.86629984656,9858.34140410493,18330.37502289971,19223.84642444657,13245.797657978132,4.8530289120172085,0.0541814578909359
43,25682.84074950664,21655.277436277207,20204.0229710772,12221.468839543157,11075.539803212709,4.921208515645586,0.0915448242604209,0.3160480469865028,7660.3642405306355,17280.591570108947,17367.360424058013,14073.466497870468,4.829322100650872,0.0200902042198168,0.1024043399376464,0.1448289919781238,0.3835836318266771,6846.585207464673,24233.816040951315,18542.60065731757,16339.878760089756,13054.307735976035,5.002534506992179,0.0181623418908183
44,53496.00095812854,31997.86686076445,18949.008848683497,16563.64965367424,11509.593093015068,4.877459480131781,0.119242161235029,0.2285646631719529,55288.49792956888,26156.016742483145,23446.98447236611,19482.522997318923,5.041278762031578,0.1281875448237195,0.1970489958946193,0.0838654953559099,0.2406594587369111,55847.96698492139,23902.782850285235,21726.837056805303,23249.33834088805,10574.670230061442,4.988482886581785,0.1395992446808084
45,31734.41915685971,35688.36280293945,18456.161149364587,24677.880347446728,10176.188954117346,4.937740752850565,0.1739593169992204,0.4560099056732143,25803.79914438541,22983.01040676301,11258.649643846467,25668.03174678665,5.083071583881517,0.1360854582797411,0.0807900544354732,0.0432239834498797,0.4466165907736613,29988.02262913512,18142.20015471245,10553.214852353083,24219.466651419167,12421.23078728638,5.120217528323886,0.1092645449045085
46,21792.11812807563,40131.31359101301,26030.88255004801,19813.35801969761,7963.234692826756,5.013117129467169,0.0885211116331163,0.328060939076248,45259.03286564982,40295.46344844365,28036.69046823867,21822.147471046657,4.861941061070988,0.1946045361497266,0.1673923170530713,0.092418062879168,0.2476580499653686,42896.49375304221,49843.9799294809,30422.540491291995,21664.6058109606,10070.765766719123,4.903938857766391,0.1918938171525045
47,26411.918857612647,26499.968677393303,21616.751978201017,20168.14478769829,8570.501677145769,4.954785128673702,0.1001825285474115,0.4025341228561171,36192.73599530509,23387.90863703853,22124.35941682127,20365.84827814075,4.596082753989533,0.0819351022317432,0.0543998060614675,0.1739372847165145,0.3548989033452889,39822.06638995396,19167.90971108613,17603.434200187465,24672.8493179745,14088.232155477082,4.456421046607149,0.1210758985405735
48,23926.83630655193,18901.56510745491,14750.377775275028,21643.0880544384,7372.096618099476,4.8665287175471,0.0803175002092543,0.3838800044440459,31118.334281202555,11126.755211774287,17343.76046704058,22468.624748459868,4.605356760180023,0.0604634797609112,0.0334077032968889,0.0895670120310447,0.4053677433855304,41173.03334121678,13205.839838124672,12750.800458165768,19524.19208342915,10963.412413784195,4.4105979902358285,0.0693482046016583
49,28709.14287684953,12854.362850268071,29283.778109595733,20969.594072443808,6001.389186522786,4.879078063984236,0.1219566247501086,0.4898820077544824,15446.968210583198,7113.558890828022,16501.500501790386,24140.82754395952,4.81186235538779,0.0433038248635693,0.0394967037751539,0.081844241164491,0.5716440112763052,10946.235023310895,6433.938101513537,12515.886309307916,23547.71589801556,7406.863731176314,4.761314471932395,0.0125749192505416
50,15943.505172154686,4768.806171557755,2818.7713264463314,6166.045253427132,1026.8185073893362,4.424854529874354,0.3017103141501306,0.4845044997498557,13296.585769689087,3656.113781420366,2865.367285286864,5841.552645607238,4.701987106370681,0.2363456003068234,0.0631319814715183,0.0496698018426905,0.404919696000213,12423.316206801428,4368.641490881959,3517.975062111176,5085.152149054348,1770.583736007375,4.84091991162643,0.2148655120118775
51,22295.66247145257,7506.098300268827,11311.303975422205,4518.652299040518,1434.5186135898582,4.5998290851061485,0.1991526306947471,0.2887843199008604,16611.07314353537,5779.326825427466,9588.806768234335,4652.950969498824,4.616545766002516,0.1963032036760628,0.0737402518446572,0.2452969434381758,0.344235564255742,14503.399538038568,3863.669765707001,8855.775380195697,4105.879375864319,1860.4864025090965,4.661667790182713,0.2007150534174475
52,16377.006011858455,7567.050581335837,8701.020015361533,4900.462238369227,2235.328120406116,4.757226003204053,0.1990985997694157,0.2599345983080544,14439.35331150858,4914.533293784301,7216.738097122646,4601.166567688637,4.79380973300648,0.1690821973514271,0.0795683925981107,0.1500241853483218,0.2621672618073559,13643.363562462338,4049.361022768337,5866.984682648249,4294.656262005171,1780.3383469277146,4.805184216300118,0.1778696198873823
53,8364.179742631768,9250.644776837144,5053.222149463368,5320.217137328769,1760.9055056361588,4.8447783939919145,0.1451300601792287,0.5253686770828498,3488.153773196233,6550.26773065681,2874.958642526363,4493.550009750539,4.925329825362272,0.0593572912984551,0.0569600417110193,0.0991417622668284,0.5501793500631033,3044.132011798009,5759.500559989475,1904.982134162071,4236.32233634247,1971.5669036164568,4.902079765120464,0.0445581148149508
54,17743.746207195807,5602.985032143187,8849.690668458688,4976.386782152812,1765.2476548096777,4.591499473109441,0.3134814292283108,0.2954979610910866,14944.600419881544,3712.732769708816,6306.4630880341565,3773.025481429723,4.538091198616264,0.3099934679366186,0.0406862545784666,0.1313828796181627,0.2314901287045868,12871.250647116252,3940.073409472861,5632.365672448039,3256.354279332786,1837.96975911064,4.710862020249519,0.2636740492917625
55,11327.082494376322,12448.701233133292,4939.738990513124,5850.567230092421,2257.785958392873,4.844223124532789,0.1020364375735894,0.408282780256534,7033.749067253899,8117.095923485761,7241.092977162393,5573.009831544772,4.926984758746059,0.0976114311013372,0.1157409435799147,0.0867013106645234,0.429587056744844,5487.360448034791,8620.149453169746,6361.898228131528,5487.363960197283,1920.5301506320584,4.935720495946619,0.0541523138559699
56,6567.199007012029,11293.208642517766,8797.80117468546,6206.916901116304,2170.947904240365,4.844144548838235,0.0537080209607891,0.3281868190092266,6169.02581943565,9175.7970526908,5084.349826813563,3803.457364239705,4.979703382801676,0.0686911130012192,0.1842659404298023,0.1327578622880002,0.2655888197179205,5094.691681850003,9217.989613302276,5360.8539861606,4174.64402377745,2270.0694625768133,4.85960693287692,0.0483750787578383
57,18252.68306960386,19255.27107563821,8402.529281075198,5857.995533979807,2575.624971472081,4.801079799627154,0.1307569997447323,0.3615038560472466,12900.901639747284,14237.38761955114,4934.692990574666,4269.817031086956,4.902721271417062,0.1404404512725326,0.1587330047654429,0.036058673776058,0.3935097393929305,12586.20206496984,13777.843755040749,4121.270544153004,4614.266316730514,2231.2146209522,4.89491050904986,0.1264088563067282
58,5568.113881821013,9680.415835601429,9155.258416829523,5127.357448405707,1553.9916060294463,4.737999738611286,0.1382887239512535,0.4036284741218837,7301.982444183934,7472.641388831446,5301.859090280242,5208.285555217033,4.862986972925417,0.1091760304846116,0.0934692913732589,0.1134805663083844,0.5573552040971784,8358.619434678949,5213.555872509439,4580.0415452174975,5349.468016207688,872.1529810552981,4.854971408070682,0.1019038074116193
59,11298.621807815456,6990.18380250125,8797.356954628429,4924.754932460037,3087.334590646148,4.916102115009481,0.1041327429295628,0.3918071573715003,7424.171799737616,3129.763151234502,4355.060370451048,4469.733937617074,4.89326164352144,0.1068354000241117,0.0713157269706878,0.0835696735695715,0.4460953082832042,6950.266604196803,3369.361017286912,4130.5072410373605,3844.525981822835,2968.8634560126447,4.890992315466914,0.1021403710712507
60,15847.238458701582,7881.309728002435,10761.885846969826,5033.650857970504,2732.166657954603,4.893986216164006,0.2262308821576609,0.3826506797354934,9868.106192037794,7816.497802792767,6964.220424019866,4236.06584317531,4.780219596008751,0.1757239173549487,0.1545311928709453,0.0815686237154073,0.3667223857793154,8917.95758392671,7618.281087690513,7944.453371211594,3825.619248432345,3074.71819511575,4.781331637621076,0.1605801712785212
61,8846.734229177786,13214.234397499897,7973.486298890523,7146.047737757238,2264.511616220296,4.767116196167462,0.0912416622888656,0.4625323963497468,5267.873292144856,10325.923724983722,5513.170067980147,5558.687788459329,4.727720835893453,0.0306734784804562,0.1834378581702589,0.0680601205008725,0.5095573248152927,4722.297641801597,9599.198321410662,4833.845075834437,5355.311419400015,1876.0000917388447,4.693771935280698,0.0346854619971264
62,12305.498666906513,6782.413317560742,12892.9318645956,4322.302435436876,3351.994828398165,4.757612425326454,0.1295895990816188,0.2828433099071515,9583.16877379748,5229.391909602514,10127.622805607933,4147.749275088065,4.857739560121499,0.1099303995229524,0.068289132664628,0.2299361875678042,0.3181305752871015,9534.42777423932,3490.86640740522,8237.69609620362,3374.432748486557,2980.7485360722326,4.86478369826134,0.1261367265371519
63,8982.527134819584,8714.39217715256,10444.830061223702,9585.489669237208,2450.4918514359665,5.03861695714457,0.0984361546340043,0.4378181282351093,7802.521617385409,6113.929398378617,8530.145232217665,7792.9358752808,4.989990214884831,0.1077163599001148,0.149012024702325,0.0833679990351324,0.497562077771591,8063.504769781989,5268.719797756216,5727.156935257182,6714.80161929,1933.3897812980167,5.007021556616047,0.1192021109725611
64,10498.954837488736,13517.30758053355,9821.4221926252,6802.027302613652,2164.1885764582807,4.825444912032412,0.1130720143046987,0.4796748538458253,4009.3534763972566,7502.852354040473,6277.159646195254,5268.588493090132,4.867337637697564,0.0717488152282325,0.1392351358175167,0.0935622544056463,0.5057905169088065,6403.064353212421,6821.838350039492,6226.276681692804,5286.518264188931,2030.6562505597683,4.9703004265587865,0.1563223396466526
65,9828.276870683025,14000.269894811625,10080.350638495524,5151.224625806622,3823.396268187616,4.694966854659513,0.0863810768796896,0.3867023720534611,7973.484567980569,10246.029872482555,8747.188598089238,3881.97907359123,4.725566471871431,0.1132383293469427,0.1196980095892352,0.161910927315188,0.3453831104303255,8636.241448560217,8820.600242979863,7722.496415510784,3607.245778859192,3580.343031717748,4.6917695152389705,0.1326556057398204
66,18267.679204632623,10047.381791188269,9035.568291925576,5503.0145931617535,4300.834721397304,4.689638167800708,0.1249505595722303,0.3104122944160341,11484.524402921576,5621.532751743976,9382.56586790308,3861.151638053204,4.798259028131328,0.1322065756666079,0.0822295619108967,0.0870242448327946,0.3509439201016888,11180.63143872571,6355.313155149006,9590.080286646771,3609.701317010353,3345.683254083004,4.836562753806517,0.1395261039939454
